	id	dk1	dk2	z	logFluxUV	logFluxErrUV	logFluxX	logFluxErrX	dk3	dk4	dk5	dk6	dk7
591	113224.00+525157.6	173.10002	52.86601	0.837	-27.3363	0.00939	-31.46288	0.04759	5	2.23391	0.48205	45.631476	0.321352
592	013120.34+003658.7	22.8348	0.61632	0.8381	-28.0152	0.01551	-31.7526	0.06773	6	2.37962	0.30002	44.762518	0.455822
593	155214.13+200153.7	238.059	20.0316	0.839	-27.7669	0.01299	-31.5038	0.05498	6	1.99369	0.21103	44.138471	0.372225
594	123101.07+011844.9	187.75449	1.31249	0.8392	-27.2413	0.01405	-30.9885	0.01251	5	2.26676	0.08552	42.892388	0.119466
595	123038.05+162541.0	187.65855	16.42808	0.84	-26.7768	0.00823	-30.75368	0.01341	5	2.00604	0.0751	43.245622	0.107923
596	002409.34+042240.7	6.03896	4.37797	0.84	-28.1365	0.02251	-31.8689	0.05723	6	1.98385	0.21842	45.032798	0.394022
597	005606.43-011958.4	14.02683	-1.33291	0.8404	-27.8204	0.01393	-31.53443	0.02334	5	1.90141	0.1704	44.121419	0.177626
598	103113.05+505226.6	157.80439	50.87406	0.841	-27.9409	0.01451	-31.78875	0.04193	5	2.09126	0.21063	45.305062	0.288317
599	120129.43+553644.8	180.373	55.6124	0.841	-27.7288	0.01231	-31.0639	0.02582	6	1.86102	0.08543	41.393797	0.2137
600	133735.66+520530.7	204.39861	52.09187	0.842	-27.3394	0.01384	-31.3795	0.03533	5	2.2069	0.42303	45.068987	0.245533
601	142112.29+524147.2	215.30122	52.69646	0.842	-27.9537	0.01369	-31.28638	0.02632	5	2.00879	0.2111	41.94009	0.21792
602	152147.03+524554.4	230.446	52.7651	0.843	-27.6359	0.01112	-31.4289	0.04983	6	2.12794	0.2213	44.180888	0.337143
603	142618.69+511753.5	216.5779	51.29822	0.8434	-27.6915	0.02157	-31.49221	0.01848	5	2.32571	0.14	44.370727	0.161871
604	101755.29+390430.7	154.48038	39.0752	0.8436	-27.1657	0.01519	-31.30559	0.0235	5	2.26639	0.24141	45.292741	0.17695
605	095743.11+013947.7	149.43	1.66326	0.844	-28.227	0.03013	-31.6807	0.06772	6	2.19305	0.24549	43.421332	0.474249
606	103157.37+574752.5	157.989	57.7979	0.844	-27.4244	0.01207	-31.6734	0.048	6	1.99557	0.18916	46.65895	0.327675
607	002327.21+012246.8	5.86338	1.37968	0.8448	-27.607	0.01322	-31.43533	0.03572	5	2.34675	0.51085	44.3416	0.248418
608	114915.66+514647.0	177.315	51.7797	0.845	-27.5157	0.0129	-31.0118	0.0233	6	1.87361	0.08046	41.922663	0.188444
609	145407.20+163442.3	223.53001	16.57843	0.846	-27.1637	0.00926	-30.82454	0.04149	5	2.30051	0.31867	42.12894	0.285924
610	120644.01+495336.7	181.68341	49.89355	0.8468	-26.8915	0.01188	-31.59729	0.02974	5	2.28429	0.26637	48.338721	0.241428
611	021514.83-003905.0	33.81182	-0.65141	0.8468	-27.4772	0.01247	-31.27007	0.02309	5	2.09512	0.2001	43.783281	0.171526
612	104650.99+584028.6	161.712	58.6746	0.8468	-28.3529	0.02365	-32.1544	0.06579	6	2.41875	0.28869	46.029436	0.448458
613	143219.32+132520.1	218.08051	13.42226	0.847	-27.9668	0.01161	-31.52035	0.02638	5	2.37	0.31068	43.429232	0.200476
614	N_122_11	33.44159	-4.25155	0.8478	-27.66818	0.01522	-31.53454	0.03855	4	2.05523	0.21128	44.745315	0.267451
615	223932.95+010729.5	339.8873	1.12487	0.8479	-27.4588	0.0108	-31.22772	0.02816	5	2.01903	0.24757	43.579357	0.200819
616	111303.71+061620.0	168.26547	6.27224	0.8491	-27.2207	0.01314	-31.20395	0.02407	5	2.45439	0.22162	44.397375	0.175439
617	104911.79+510804.2	162.29913	51.13452	0.8507	-27.2015	0.01024	-31.09893	0.01548	5	2.45737	0.12249	43.783487	0.122658
